TEST_DATE,RF_FORECAST_OIL,ARPS_EXP_FORECAST_OIL,DIFF_RF_MINUS_ARPS
2013-04-27,519.909424640343,135.9296886490375,383.97973599130546
2013-04-28,519.3647653127489,135.537493553372,383.8272717593769
2013-04-29,518.8206765725861,135.14643005003623,383.6742465225499
2013-04-30,518.2771578221048,134.75649487407046,383.5206629480343
2013-05-01,517.7342084641814,134.36768476993535,383.36652369424604
2013-05-02,517.1918279023179,133.9799964914845,383.2118314108334
2013-05-03,516.650015540641,133.59342680193774,383.0565887387032
2013-05-04,516.1087707839018,133.20797247385383,382.900798310048
2013-05-05,515.568093037475,132.82363028910353,382.74446274837146
2013-05-06,515.0279817073582,132.44039703884297,382.5875846685152
2013-05-07,514.4884362001711,132.05826952348653,382.4301666766846
2013-05-08,513.9494559231554,131.67724455268035,382.272211370475
2013-05-09,513.4110402841734,131.2973189452757,382.1137213388977
2013-05-10,512.8731886917079,130.9184895293022,381.95469916240575
2013-05-11,512.3359005548615,130.54075314194162,381.79514741291985
2013-05-12,511.7991752833556,130.16410662950136,381.63506865385426
2013-05-13,511.26301228753016,129.78854684738792,381.47446544014224
2013-05-14,510.7274109783427,129.41407066008108,381.31334031826157
2013-05-15,510.1923707673679,129.04067494110723,381.15169582626066
2013-05-16,509.6578910667969,128.66835657301365,380.98953449378325
2013-05-17,509.1239712894366,128.2971124473424,380.8268588420942
2013-05-18,508.5906108487091,127.92693946460412,380.663671384105
2013-05-19,508.0578091586509,127.55783453425249,380.4999746243984
2013-05-20,507.5255656339125,127.18979457465828,380.3357710592542
2013-05-21,506.9938796897575,126.82281651308345,380.171063176674
2013-05-22,506.46275074206204,126.45689728565596,380.0058534564061
2013-05-23,505.93217820731434,126.09203383734355,379.8401443699708
2013-05-24,505.4021615026138,125.72822312192888,379.67393838068494
2013-05-25,504.8727000456705,125.36546210198367,379.50723794368685
2013-05-26,504.3437932548045,125.0037477488434,379.3400455059611
2013-05-27,503.8154405489453,124.64307704258228,379.172363506363
2013-05-28,503.287641347631,124.28344697198759,379.0041943756434
2013-05-29,502.76039507100796,123.92485453453504,378.83554053647293
2013-05-30,502.2337011398299,123.56729673636342,378.6664044034665
2013-05-31,501.7075589754574,123.21077059224943,378.49678838320796
2013-06-01,501.1819679998572,122.85527312558327,378.3266948742739
2013-06-02,500.65692763560156,122.50080136834335,378.15612626725823
2013-06-03,500.1324373058677,122.14735236107155,377.98508494479614
2013-06-04,499.60849643443714,121.79492315284887,377.8135732815883
2013-06-05,499.085104445695,121.44351080127022,377.64159364442474
2013-06-06,498.5622607646294,121.09311237242039,377.46914839220904
2013-06-07,498.03996481683095,120.7437249408494,377.29623987598154
2013-06-08,497.5182160284919,120.3953455895477,377.12287043894423
2013-06-09,496.9970138264057,120.04797140992241,376.9490424164833
2013-06-10,496.47635763796626,119.70159950177269,376.77475813619355
2013-06-11,495.9562468911673,119.35622697326545,376.6000199179019
2013-06-12,495.43668101460196,119.01185094091159,376.4248300736904
2013-06-13,494.91765943746174,118.66846852954139,376.24919090792037
2013-06-14,494.3991815895363,118.326076872281,376.07310471725526
2013-06-15,493.8812469012126,117.98467311052838,375.8965737906842
2013-06-16,493.3638548034743,117.64425439392902,375.71960040954525
2013-06-17,492.8470047279012,117.30481788035279,375.5421868475484
2013-06-18,492.3306961066686,116.96636073586986,375.36433537079876
2013-06-19,491.8149283725466,116.62888013472687,375.1860482378197
2013-06-20,491.29970095889956,116.29237325932378,375.0073276995758
2013-06-21,490.7850132996855,115.95683730018997,374.8281759994955
2013-06-22,490.2708648294553,115.62226945596099,374.64859537349435
2013-06-23,489.75725498335237,115.28866693335517,374.4685880499972
2013-06-24,489.2441831971117,114.95602694715005,374.2881562499616
2013-06-25,488.7316489070595,114.62434672015947,374.10730218690003
2013-06-26,488.2196515501125,114.29362348321027,373.9260280669022
2013-06-27,487.70819056377724,113.9638544751189,373.7443360886583
2013-06-28,487.19726538614964,113.63503694266885,373.56222844348076
2013-06-29,486.6868754559142,113.30716814058722,373.379707315327
2013-06-30,486.1770202123435,112.9802453315221,373.1967748808214
2013-07-01,485.66769909529745,112.65426578601961,373.01343330927784
2013-07-02,485.1589115452229,112.32922678250097,372.82968476272197
2013-07-03,484.6506570031528,112.00512560724006,372.6455313959127
2013-07-04,484.1429349107056,111.68195955434064,372.460975356365
2013-07-05,483.6357447100849,111.3597259257135,372.2760187843714
2013-07-06,483.1290858440786,111.03842203105454,372.09066381302404
2013-07-07,482.62295775605816,110.71804518782155,371.9049125682366
2013-07-08,482.1173598899784,110.39859272121244,371.71876716876596
2013-07-09,481.61229169037654,110.0800619641427,371.5322297262338
2013-07-10,481.1077526023717,109.76245025722288,371.3453023451488
2013-07-11,480.6037420716643,109.44575494873683,371.15798712292747
2013-07-12,480.10025954453556,109.12997339461934,370.9702861499162
2013-07-13,479.5973044678466,108.81510295843383,370.78220150941274
2013-07-14,479.0948762890381,108.50114101135084,370.59373527768724
2013-07-15,478.5929744561296,108.18808493212565,370.4048895240039
2013-07-16,478.0915984177189,107.87593210707664,370.2156663106423
2013-07-17,477.59074762298144,107.56467993006343,370.026067692918
2013-07-18,477.0904215216697,107.25432580246493,369.83609571920476
2013-07-19,476.59061956411267,106.94486713315796,369.6457524309547
2013-07-20,476.0913412012151,106.6363013384954,369.4550398627197
2013-07-21,475.5925858844569,106.32862584228461,369.2639600421723
2013-07-22,475.09435306589285,106.02183807576608,369.07251499012676
2013-07-23,474.5966421981515,105.71593547759178,368.8807067205597
2013-07-24,474.09945273443503,105.410915493804,368.68853724063104
2013-07-25,473.6027841285183,105.10677557781388,368.4960085507044
2013-07-26,473.1066358347485,104.80351319038009,368.3031226443684
